Project Name,Package Name,Architecture Smell,Cause of the Smell
myexcel,com.github.liaochong.example.controller,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BeetlExcelBuilderExampleController]; [CsvExampleController]; [DefaultExcelBuilderExampleController]; [DefaultExcelReaderExampleController]; [DefaultStreamExcelBuilderExampleController]; [FreemarkerExcelBuilderExampleController]; [HtmlToExcelFactoryExampleController]; [SaxExcelReaderExampleController]; [ThymeleafExcelBuilderExampleController]; [VelocityExcelBuilderExampleController]. LCC (Lack of Component Cohesion) = 1.0
myexcel,com.github.liaochong.myexcel.core,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 60
myexcel,com.github.liaochong.myexcel.core,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractExcelBuilder; HtmlToExcelFactory]; [AbstractExcelFactory]; [AbstractHSSFReadHandler; SaxExcelReader; XSSFSaxReadHandler; XSSFSheetXMLHandler; SaxExcelReaderTest; AbstractReadHandler; ExcelColumnMapping; AbstractSimpleExcelBuilder; CsvReadHandler; DefaultExcelBuilder; DefaultStreamExcelBuilder; HtmlToExcelStreamFactory; DefaultStreamExcelBuilderTest; DefaultExcelReader; Row; DefaultExcelReaderTest; HSSFMergeReadHandler; HSSFSaxReadHandler]; [BeetlExcelBuilder]; [Cell]; [CiConsumer]; [CiFunction]; [ColumnSaxExcelReader; ColumnSaxExcelReaderTest]; [Configuration]; [Csv]; [CsvBuilder; CsvBuilderTest]; [EnjoyExcelBuilder]; [ExcelBuilder]; [ExcelFactory]; [FreemarkerExcelBuilder]; [FreezePane]; [GroovyExcelBuilder]; [HSSFMetaDataSaxReadHandler]; [HtmlToExcelStreamFactoryContext]; [ListSupplier]; [MyExcelConfiguration]; [PromptContainer]; [ReadContext]; [ReadOnlySharedStringsTable]; [RowContext]; [ReadConfig]; [SheetMetaData]; [SimpleStreamExcelBuilder]; [ThymeleafExcelBuilder]; [VelocityExcelBuilder]; [WorkbookMetaData]; [XSSFSheetMergeXMLHandler]; [XSSFSheetMetaDataXMLHandler]; [SheetContentsHandler]; [BasicTest]; [BeetlExcelBuilderTest]; [EnjoyExcelBuilderTest]; [FreemarkerExcelBuilderTest]; [TestCustomWriteConverter]; [ThymeleafExcelBuilderTest]. LCC (Lack of Component Cohesion) = 0.67
myexcel,com.github.liaochong.myexcel.core.cache,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.liaochong.myexcel.core.cache; com.github.liaochong.myexcel.utils
myexcel,com.github.liaochong.myexcel.core.constant,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllConverter]; [BooleanDropDownList]; [Constants]; [CsvConverter]; [DropDownList]; [File; ImageFile]; [LinkEmail]; [LinkUrl]; [NumberDropDownList]. LCC (Lack of Component Cohesion) = 0.9
myexcel,com.github.liaochong.myexcel.core.converter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConvertContext]; [CustomWriteContext]; [CustomWriteConverter; DefaultCustomWriteConverter]; [ReadConverter]; [ReadConverterContext]; [WriteConverter]; [WriteConverterContext]. LCC (Lack of Component Cohesion) = 0.88
myexcel,com.github.liaochong.myexcel.core.converter.reader,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractReadConverter]; [BigDecimalReadConverter]; [BoolReadConverter]; [DateReadConverter]; [LocalDateReadConverter]; [LocalDateTimeReadConverter]; [LocalTimeReadConverter]; [NumberReadConverter]; [StringReadConverter]; [TimestampReadConverter]. LCC (Lack of Component Cohesion) = 1.0
myexcel,com.github.liaochong.myexcel.core.converter.writer,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BigDecimalWriteConverter]; [CustomWriteConverter]; [DateTimeWriteConverter]; [DropDownListWriteConverter]; [ImageWriteConverter]; [LinkWriteConverter]; [LocalTimeWriteConverter]; [MappingWriteConverter]; [MultiWriteConverter]; [OriginalWriteConverter]; [StringWriteConverter]. LCC (Lack of Component Cohesion) = 1.0
myexcel,com.github.liaochong.myexcel.core.parser,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Comment]; [Font]; [HtmlTableParser]; [ParseConfig]; [Slant]; [StyleParser]; [Table]; [Td]; [Tr]. LCC (Lack of Component Cohesion) = 1.0
myexcel,com.github.liaochong.myexcel.core.style,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BackgroundStyle]; [BorderStyle; LinkDefaultCellStyle; TdDefaultCellStyle; ThDefaultCellStyle]; [CustomColor]; [DefaultCellStyle]; [FontStyle]; [TextAlignStyle]; [WordBreakStyle]. LCC (Lack of Component Cohesion) = 0.7
myexcel,com.github.liaochong.myexcel.core.templatehandler,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractTemplateHandler]; [BeetlTemplateHandler]; [EnjoyTemplateHandler]; [FreemarkerTemplateHandler]; [GroovyTemplateHandler]; [TemplateHandler]; [ThymeleafTemplateHandler]; [VelocityTemplateHandler]. LCC (Lack of Component Cohesion) = 1.0
myexcel,com.github.liaochong.myexcel.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.liaochong.myexcel.utils; com.github.liaochong.myexcel.core.cache
myexcel,com.github.liaochong.myexcel.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.liaochong.myexcel.core.cache
myexcel,com.github.liaochong.myexcel.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AttachmentExportUtil; TempFileOperator; FileExportUtil]; [ColorUtil]; [ConfigurationUtil]; [PropertyUtil]; [ReflectUtil]; [RegexpUtil]; [StringUtil]; [StyleUtil]; [TdUtil]; [WatermarkUtil]. LCC (Lack of Component Cohesion) = 0.83
myexcel,com.github.liaochong.myexcel.core.pojo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommonPeople]; [CsvPeople]; [CustomStylePeople]; [ExceptionPeople]; [Formula]; [MultiPeople]; [OddEvenStylePeople]; [Person]; [PersonWithName]; [Picture]; [Product]; [TitlePeople]; [WidthPeople]. LCC (Lack of Component Cohesion) = 1.0
