Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
myexcel,com.github.liaochong.example.controller,BeetlExcelBuilderExampleController,buildWithXLS,Long Statement,The length of the statement "Workbook workbook=excelBuilder.template("/templates/beetlToExcelExample.btl").workbookType(WorkbookType.XLS).useDefaultStyle().build(dataMap);" is 142.,56
myexcel,com.github.liaochong.example.controller,BeetlExcelBuilderExampleController,buildWithXLSX,Long Statement,The length of the statement "Workbook workbook=excelBuilder.template("/templates/beetlToExcelExample.btl").workbookType(WorkbookType.XLSX).useDefaultStyle().build(dataMap);" is 143.,75
myexcel,com.github.liaochong.example.controller,BeetlExcelBuilderExampleController,buildWithSXLSX,Long Statement,The length of the statement "Workbook workbook=excelBuilder.template("/templates/beetlToExcelExample.btl").workbookType(WorkbookType.SXLSX).useDefaultStyle().build(dataMap);" is 144.,94
myexcel,com.github.liaochong.example.controller,BeetlExcelBuilderExampleController,getDataMap,Magic Number,The method contains a magic number: 10,113
myexcel,com.github.liaochong.example.controller,BeetlExcelBuilderExampleController,getDataMap,Magic Number,The method contains a magic number: 2,113
myexcel,com.github.liaochong.example.controller,BeetlExcelBuilderExampleController,getDataMap,Magic Number,The method contains a magic number: 100,113
myexcel,com.github.liaochong.example.controller,BeetlExcelBuilderExampleController,getDataMap,Magic Number,The method contains a magic number: 999,113
myexcel,com.github.liaochong.example.controller,CsvExampleController,getDataList,Magic Number,The method contains a magic number: 1000,46
myexcel,com.github.liaochong.example.controller,CsvExampleController,getDataList,Magic Number,The method contains a magic number: 134L,46
myexcel,com.github.liaochong.example.controller,CsvExampleController,getDataList,Magic Number,The method contains a magic number: 6456L,46
myexcel,com.github.liaochong.example.controller,CsvExampleController,getDataList,Magic Number,The method contains a magic number: 54354L,46
myexcel,com.github.liaochong.example.controller,CsvExampleController,getDataList,Magic Number,The method contains a magic number: 100,46
myexcel,com.github.liaochong.example.controller,CsvExampleController,getDataList,Magic Number,The method contains a magic number: 2,46
myexcel,com.github.liaochong.example.controller,CsvExampleController,getDataList,Magic Number,The method contains a magic number: 19,46
myexcel,com.github.liaochong.example.controller,CsvExampleController,getDataList,Magic Number,The method contains a magic number: 18,46
myexcel,com.github.liaochong.example.controller,DefaultExcelBuilderExampleController,defaultBuildWithWorkbook,Long Statement,The length of the statement "workbook=DefaultExcelBuilder.of(ArtCrowd.class`workbook).sheetName("sheet2").widthStrategy(WidthStrategy.NO_AUTO).build(dataList);" is 130.,45
myexcel,com.github.liaochong.example.controller,DefaultExcelBuilderExampleController,getDataList,Magic Number,The method contains a magic number: 1000,55
myexcel,com.github.liaochong.example.controller,DefaultExcelBuilderExampleController,getDataList,Magic Number,The method contains a magic number: 1000,55
myexcel,com.github.liaochong.example.controller,DefaultExcelBuilderExampleController,getDataList,Magic Number,The method contains a magic number: 2,55
myexcel,com.github.liaochong.example.controller,DefaultExcelBuilderExampleController,getDataList,Magic Number,The method contains a magic number: 19,55
myexcel,com.github.liaochong.example.controller,DefaultExcelBuilderExampleController,getDataList,Magic Number,The method contains a magic number: 18,55
myexcel,com.github.liaochong.example.controller,DefaultExcelReaderExampleController,read,Long Statement,The length of the statement "List<ArtCrowd> result=DefaultExcelReader.of(ArtCrowd.class).sheet(0).rowFilter(row -> row.getRowNum() > 0).read(path.toFile());" is 127.,35
myexcel,com.github.liaochong.example.controller,DefaultStreamExcelBuilderExampleController,streamBuild,Long Statement,The length of the statement "try (DefaultStreamExcelBuilder<ArtCrowd> defaultExcelBuilder=DefaultStreamExcelBuilder.of(ArtCrowd.class).threadPool(executorService).start()){" is 143.,26
myexcel,com.github.liaochong.example.controller,DefaultStreamExcelBuilderExampleController,streamBuild,Magic Number,The method contains a magic number: 100,26
myexcel,com.github.liaochong.example.controller,DefaultStreamExcelBuilderExampleController,streamBuildWithContinue,Long Statement,The length of the statement "DefaultStreamExcelBuilder<ArtCrowd> defaultExcelBuilder=DefaultStreamExcelBuilder.of(ArtCrowd.class).threadPool(executorService).start();" is 137.,40
myexcel,com.github.liaochong.example.controller,DefaultStreamExcelBuilderExampleController,streamBuildWithContinue,Long Statement,The length of the statement "DefaultStreamExcelBuilder<ArtCrowd> defaultStreamExcelBuilder=DefaultStreamExcelBuilder.of(ArtCrowd.class`workbook).threadPool(executorService).sheetName("sheet2").start();" is 172.,40
myexcel,com.github.liaochong.example.controller,DefaultStreamExcelBuilderExampleController,streamBuildWithContinue,Magic Number,The method contains a magic number: 100,40
myexcel,com.github.liaochong.example.controller,DefaultStreamExcelBuilderExampleController,streamBuildWithContinue,Magic Number,The method contains a magic number: 100,40
myexcel,com.github.liaochong.example.controller,DefaultStreamExcelBuilderExampleController,getDataList,Magic Number,The method contains a magic number: 1000,61
myexcel,com.github.liaochong.example.controller,DefaultStreamExcelBuilderExampleController,getDataList,Magic Number,The method contains a magic number: 1000,61
myexcel,com.github.liaochong.example.controller,DefaultStreamExcelBuilderExampleController,getDataList,Magic Number,The method contains a magic number: 2,61
myexcel,com.github.liaochong.example.controller,DefaultStreamExcelBuilderExampleController,getDataList,Magic Number,The method contains a magic number: 19,61
myexcel,com.github.liaochong.example.controller,DefaultStreamExcelBuilderExampleController,getDataList,Magic Number,The method contains a magic number: 18,61
myexcel,com.github.liaochong.example.controller,FreemarkerExcelBuilderExampleController,buildWithXLS,Long Statement,The length of the statement "Workbook workbook=excelBuilder.template("/templates/freemarkerToExcelExample.ftl").workbookType(WorkbookType.XLS).useDefaultStyle().build(dataMap);" is 147.,60
myexcel,com.github.liaochong.example.controller,FreemarkerExcelBuilderExampleController,buildWithXLSX,Long Statement,The length of the statement "Workbook workbook=excelBuilder.template("/templates/freemarkerToExcelExample.ftl").workbookType(WorkbookType.XLSX).useDefaultStyle().build(dataMap);" is 148.,79
myexcel,com.github.liaochong.example.controller,FreemarkerExcelBuilderExampleController,buildWithSXLSX,Long Statement,The length of the statement "Workbook workbook=excelBuilder.template("/templates/freemarkerToExcelExample.ftl").workbookType(WorkbookType.SXLSX).useDefaultStyle().build(dataMap);" is 149.,98
myexcel,com.github.liaochong.example.controller,FreemarkerExcelBuilderExampleController,buildWithEncrypt,Long Statement,The length of the statement "Workbook workbook=excelBuilder.template("/templates/freemarkerToExcelExample.ftl").workbookType(WorkbookType.SXLSX).useDefaultStyle().build(dataMap);" is 149.,117
myexcel,com.github.liaochong.example.controller,FreemarkerExcelBuilderExampleController,buildWithAutoWidth,Long Statement,The length of the statement "Workbook workbook=excelBuilder.template("/templates/freemarkerToExcelExample.ftl").useDefaultStyle().autoWidthStrategy(AutoWidthStrategy.AUTO_WIDTH).build(dataMap);" is 164.,136
myexcel,com.github.liaochong.example.controller,FreemarkerExcelBuilderExampleController,getDataMap,Magic Number,The method contains a magic number: 10,155
myexcel,com.github.liaochong.example.controller,FreemarkerExcelBuilderExampleController,getDataMap,Magic Number,The method contains a magic number: 2,155
