Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
myexcel,com.github.liaochong.example.controller,BeetlExcelBuilderExampleController,0,0,6,5,87,8,0,0,-1.0,0,1,E:\myexcel\example\src\main\java\com\github\liaochong\example\controller\BeetlExcelBuilderExampleController.java,19
myexcel,com.github.liaochong.example.controller,CsvExampleController,0,0,2,1,40,4,0,0,-1.0,0,3,E:\myexcel\example\src\main\java\com\github\liaochong\example\controller\CsvExampleController.java,33
myexcel,com.github.liaochong.example.controller,DefaultExcelBuilderExampleController,0,0,5,4,54,7,0,0,-1.0,0,3,E:\myexcel\example\src\main\java\com\github\liaochong\example\controller\DefaultExcelBuilderExampleController.java,17
myexcel,com.github.liaochong.example.controller,DefaultExcelReaderExampleController,0,0,3,3,26,3,0,0,-1.0,0,2,E:\myexcel\example\src\main\java\com\github\liaochong\example\controller\DefaultExcelReaderExampleController.java,28
myexcel,com.github.liaochong.example.controller,DefaultStreamExcelBuilderExampleController,1,0,3,2,55,8,0,0,0.6666666666666666,0,3,E:\myexcel\example\src\main\java\com\github\liaochong\example\controller\DefaultStreamExcelBuilderExampleController.java,17
myexcel,com.github.liaochong.example.controller,FreemarkerExcelBuilderExampleController,0,0,8,7,109,10,0,0,-1.0,0,1,E:\myexcel\example\src\main\java\com\github\liaochong\example\controller\FreemarkerExcelBuilderExampleController.java,21
myexcel,com.github.liaochong.example.controller,HtmlToExcelFactoryExampleController,0,0,2,2,18,2,0,0,-1.0,0,2,E:\myexcel\example\src\main\java\com\github\liaochong\example\controller\HtmlToExcelFactoryExampleController.java,14
myexcel,com.github.liaochong.example.controller,SaxExcelReaderExampleController,0,0,2,2,24,2,0,0,-1.0,0,2,E:\myexcel\example\src\main\java\com\github\liaochong\example\controller\SaxExcelReaderExampleController.java,29
myexcel,com.github.liaochong.example.controller,ThymeleafExcelBuilderExampleController,0,0,1,1,12,1,0,0,-1.0,0,1,E:\myexcel\example\src\main\java\com\github\liaochong\example\controller\ThymeleafExcelBuilderExampleController.java,28
myexcel,com.github.liaochong.example.controller,VelocityExcelBuilderExampleController,0,0,8,7,109,10,0,0,-1.0,0,1,E:\myexcel\example\src\main\java\com\github\liaochong\example\controller\VelocityExcelBuilderExampleController.java,20
myexcel,com.github.liaochong.example,ExampleApplication,0,0,1,1,5,1,0,0,-1.0,1,1,E:\myexcel\example\src\main\java\com\github\liaochong\example\ExampleApplication.java,6
myexcel,com.github.liaochong.example,ExampleApplicationTests,0,0,1,1,4,1,0,0,-1.0,0,0,E:\myexcel\example\src\test\java\com\github\liaochong\example\ExampleApplicationTests.java,8
myexcel,com.github.liaochong.example.pojo,ArtCrowd,4,0,8,8,34,8,0,0,0.5,5,0,E:\myexcel\example\src\main\java\com\github\liaochong\example\pojo\ArtCrowd.java,9
myexcel,com.github.liaochong.example.pojo,People,3,0,6,6,27,6,0,0,0.5,0,0,E:\myexcel\example\src\main\java\com\github\liaochong\example\pojo\People.java,5
myexcel,com.github.liaochong.example.pojo,Product,3,0,6,6,27,6,0,0,0.5,0,0,E:\myexcel\example\src\main\java\com\github\liaochong\example\pojo\Product.java,3
myexcel,com.github.liaochong.myexcel.core,AbstractExcelBuilder,2,0,13,12,75,15,0,0,0.15384615384615385,0,2,E:\myexcel\src\main\java\com\github\liaochong\myexcel\core\AbstractExcelBuilder.java,29
